ip, mean, std
21004656,1.3333333333333333,1.5153535218873184
21004661,1.4318181818181819,0.8892726157506299
21004666,1.5883575883575884,0.6831728632724346
21004672,1.0,0.0
21004676,1.8716600963644328,1.1183564547943665
21004681,1.0,0.0
21004689,1.0,0.0
21004695,1.0,0.0
21004708,1.0,0.0
21004748,1.0,0.0
21004753,2.0,0.0
21004762,4.0,0.0
21004808,1.084476534296029,0.28324606986145184
21004812,1.0,0.0
21004837,1.0,0.0
21004800,1.5180722891566265,0.7817411179522085
21004804,1.9952038369304557,0.9002935940973983
21004831,1.0,0.0
21004861,1.0,0.0
21004784,1.0,0.0
21004820,1.0,0.0
21004827,1.0,0.0
21004816,1.0,0.0
21004835,1.0,0.0
21004823,1.0,0.0
21004863,1.0,0.0
21004871,1.0,0.0
21005225,2.0,0.0
21005236,7.0,0.0
21005244,1.0,0.0
21005415,3.0,2.160246899469287
21005427,3.6,1.624807680927192
21005431,1.0,0.0
21005492,1.3157894736842106,1.1263649767911952
21005497,1.0,0.0
21005500,1.0,0.0
21005503,1.0,0.0
21005507,1.0,0.0
21005513,1.0,0.0
21005522,1.002008032128514,0.04476605785061833
21005525,1.0,0.0
21005543,1.0,0.0
21005550,1.0,0.0
21005650,1.0,0.0
21005659,2.20863309352518,1.1535046387902288
21005664,3.326797385620915,1.2977107312317138
21005669,1.0,0.0
21005654,1.5,0.8660254037844386
21005535,1.0,0.0
21005547,1.0,0.0
21005677,1.0,0.0
21005679,1.0,0.0
21005637,1.0,0.0
21005641,1.0,0.0
21005645,1.0,0.0
21005528,1.0,0.0
21005488,2.0,1.0
21005419,1.0,0.0
21005632,1.0,0.0
21005444,1.5,0.5
21005436,1.0,0.0
21006089,1.0,0.0
21006193,1.0,0.0
20996576,4.0,0.0
20996583,1.0,0.0
20996695,1.0,0.0
20996708,1.0,0.0
20996713,1.0,0.0
20996722,3.0,0.0
20996727,1.0,0.0
20996907,1.5,0.5
20996920,10.0,4.527692569068709
20996943,9.714285714285714,7.572776160399184
20997332,1.0,0.0
20997335,1.0,0.0
20997351,13.53448275862069,9.505380540263499
20997356,1.0,0.0
20997359,1.0,0.0
20997362,1.0,0.0
20997370,2.375,0.8569568250501305
20997388,1.03125,0.17399263633843817
20997391,1.0,0.0
20997395,1.0,0.0
20997427,7.045454545454546,7.882531162048214
20997432,1.00990099009901,0.09900990099009893
20997439,1.0,0.0
20997442,1.0,0.0
20997459,8.545454545454545,8.111312374070677
