ip, mean, std
4212811,6.664467897977133,2.749989126560178
4212819,7.016695852901377,5.970014142072531
4222894,1.14358007835688,0.7660571160258483
4222896,1.3355983360440384,1.2835740568308873
4222901,1.3099949766337358,1.0046821362252918
4222947,1.0798616432058494,0.5841917919173863
4222888,11.305688532108716,4.9366854954569535
4212771,8.878988529718457,4.6688790074724436
4212774,11.190082763259348,7.004117511791312
4212783,14.966141506648682,8.680425729386421
4212794,1.044443059101561,0.4793488939174697
4212804,13.815440473084616,26.266454462203626
4212816,1.959400019572629,0.6101248514022861
4222892,1.6695264946413235,1.982739873703217
4212787,1.8471773384448036,0.5343588219908211
4212799,39.836453757807774,82.98569592980235
4214741,1.2089200726166527,0.8229337019871631
4214744,1.9757669388655925,1.7121954199250862
4214010,2.2045328142380423,1.0044486856778414
4218672,3.891089108910891,2.9480686414722235
4218675,2.18125,2.6217166966512635
4218678,1.9201680672268908,2.1532496384225563
4218682,1.0892514395393473,0.7779961070187292
4219106,1.7283987024476555,2.1109397455040115
4219796,1.3155300081831427,1.3242820894829517
4219832,1.0624856332848058,0.5914585609619779
4219784,8.683487165143887,5.433291386398406
4219788,1.3686541928091331,1.5133156634576235
4219790,1.0660843258837789,0.550613212350956
4221366,1.1922475315280086,0.5322198010541411
4214720,5.779998577423714,2.8294144525161165
4214731,3.088082901554404,3.183101910952703
4214734,2.004239896054161,0.5154878915057105
4214737,3.8545454545454545,1.8225824701876412
4222976,7.136628998668533,6.450694366593156
4222984,5.311688311688312,7.099039152579982
4223052,6.339261550357626,1.473322884946001
4222883,7.424685245010719,3.14824190795543
4212768,7.0319973841554555,7.431438243954306
4222880,5.5409041980624325,3.324193799082322
4222949,6.0204976150573675,3.1494182913334083
4216513,6.232472324723247,4.994223321131872
4218035,1.599628384356751,0.9664024414938486
4218069,1.1239961889206478,0.7358334461498907
4218098,1.0540656819159615,0.5095695787509471
4218107,1.1892235893084429,1.1217006073418163
4218123,6.205440556878549,2.017036725617797
4219193,13.533025686645168,3.647016230393884
